recipe_id,carbs,dairy,meat,oil,saucy,sugar,veg
6668,,3.0,1.0,,,2.0,
6681,,1.0,1.0,1.0,,1.0,
6769,,2.0,1.0,,,1.0,
6869,,3.0,1.0,1.0,,2.0,
7043,,2.0,1.0,,,1.0,
7086,,3.0,,,,1.0,
7110,,1.0,,,,2.0,
7328,,1.0,,,,,
7466,,5.0,1.0,,,1.0,1.0
7599,,5.0,1.0,,,3.0,
7988,,3.0,1.0,,,1.0,
8104,,3.0,,,,1.0,
8424,,,1.0,1.0,,,
8434,,2.0,1.0,,,1.0,
8806,,1.0,1.0,,,,
9056,,,,,8.0,,
9265,,3.0,1.0,,,2.0,2.0
9384,,2.0,,,,,
9548,,1.0,,,,2.0,1.0
9571,,2.0,,,,2.0,
9680,1.0,4.0,,,,1.0,
9809,,2.0,1.0,1.0,,2.0,
9966,,2.0,,,,1.0,
10177,,3.0,,,,1.0,
10210,,,,,,1.0,
10285,,3.0,1.0,,,2.0,
10291,1.0,2.0,,,,2.0,
10337,,4.0,1.0,,,2.0,
10379,,4.0,,,,2.0,
10650,,1.0,,,,2.0,
10668,,2.0,,,,1.0,
10703,,2.0,,,,1.0,
10707,,1.0,1.0,1.0,,1.0,
10718,,2.0,1.0,,,2.0,
10768,1.0,2.0,,,,1.0,
10987,,2.0,,,,2.0,
11265,,2.0,,,,1.0,
11376,,2.0,,,,1.0,
11429,,1.0,1.0,1.0,,2.0,
11468,,3.0,,,,2.0,
11572,,2.0,,,,3.0,
11620,1.0,2.0,,,,2.0,
11651,,2.0,,,,3.0,
11670,,1.0,,1.0,,,4.0
11742,,2.0,,,,,1.0
11849,,3.0,,,,,1.0
12056,,2.0,1.0,1.0,,,3.0
12445,,4.0,1.0,,,2.0,
12536,,,,,9.0,,
12782,,,,1.0,,,2.0
12927,,,2.0,,,,5.0
12955,,,,,7.0,,
13025,,,,,7.0,,
13035,,,,,7.0,,
13167,,,1.0,,,,3.0
13283,,,,,10.0,,
13577,,1.0,,,,1.0,1.0
13688,,1.0,3.0,,,,2.0
13728,,1.0,,,,,2.0
13754,,1.0,,,,,1.0
13811,,,,,,,1.0
13883,,3.0,1.0,,,,
14133,,2.0,,,,,4.0
14175,1.0,2.0,,,,,4.0
14194,,,,,5.0,,
14238,,,,1.0,,,4.0
14254,,2.0,,,,1.0,
14457,,,,,,1.0,2.0
14586,,1.0,1.0,,,1.0,1.0
14695,,,,,,,2.0
14698,,,,1.0,,1.0,2.0
14819,,,,,,1.0,
14848,,,,,11.0,,
14886,,,,,,1.0,
15057,,3.0,,,,2.0,2.0
15067,,2.0,,,,3.0,1.0
15394,,,,1.0,,,
15528,,1.0,,,,,
15616,1.0,,2.0,2.0,,,1.0
15734,,4.0,,1.0,,3.0,
15740,,,1.0,,,,4.0
15927,1.0,,,2.0,,,2.0
16005,1.0,,,,,,
16303,,,,,8.0,,
16423,,,1.0,,,,2.0
16446,,,,,,,1.0
16544,,2.0,1.0,,,1.0,
16826,,,,,7.0,,
16898,,1.0,1.0,1.0,,1.0,
16963,1.0,1.0,,1.0,,,1.0
16965,,1.0,1.0,,,,4.0
17192,,2.0,1.0,1.0,,,1.0
17227,,,,,3.0,,
17314,,2.0,1.0,1.0,,,2.0
17664,,3.0,,,,1.0,
18033,,2.0,,,,1.0,
18198,,1.0,,,,2.0,
18340,,2.0,,,,1.0,1.0
18534,,4.0,,,,2.0,
18795,,3.0,2.0,,,,2.0
18829,,1.0,1.0,,,1.0,
18906,,,,,4.0,,
18969,,,,,,,3.0
19034,,4.0,1.0,,,1.0,
19153,,1.0,,,,1.0,1.0
19210,,2.0,,,,2.0,
19302,,2.0,1.0,,,,1.0
19393,,1.0,,1.0,,,2.0
19517,,1.0,1.0,,,,
19678,,,,,,,2.0
19687,,1.0,,,,,
19751,,2.0,1.0,1.0,,,
20189,,2.0,,,,,
20425,,1.0,1.0,,,1.0,1.0
20487,,,,,,1.0,1.0
20541,,,,1.0,,,
20653,,,,,3.0,,
20680,,2.0,1.0,,,,3.0
21005,,2.0,1.0,1.0,,2.0,
21130,,1.0,,,,,
21210,,2.0,,,,1.0,
21295,,1.0,,1.0,,1.0,
21380,,,1.0,,,,
