recipe_id,recipe_name,image_url,ingredients,cooking_directions
222877,Caipirinha Cocktail,https://images.media-allrecipes.com/userphotos/250x250/880363.jpg,lime quartered^white sugar^fluid ounces cachaca (Brazilian rum)^ice,{'directions':  Prep 5 m Ready In 5 m Combine sugar and lime quarters in a pint glass. Crush and mix together using a cocktail muddler. Add cachaca and stir. Fill with ice and stir again.'}
241509,Stumptown Coffee Rub,https://images.media-allrecipes.com/userphotos/720x405/3847921.jpg,ground coffee (such as Stumptown®)^ground black pepper^sea salt^brown sugar^ground cumin^garlic powder^onion powder^cayenne pepper,"{'directions':  Prep 10 m Ready In 10 m Grind coffee, black pepper, sea salt, brown sugar, cumin, garlic powder, onion powder, and cayenne pepper together in a coffee grinder until well-combined.'}"
10650,Cookie Mix in a Jar IX,https://images.media-allrecipes.com/userphotos/720x405/2616885.jpg,packed brown sugar^white sugar^wheat germ^quick cooking oats^raisins^flaked coconut^all-purpose flour^baking powder,"{'directions': u""Layer ingredients in order given in a quart ''wide mouth'' canning jar. Mix the flour together with the baking powder. Press each layer firmly in place, it will be a tight fit. Attach directions to jar:<BR> <BR> Trail Mix Cookies <BR> 1. Empty jar of cookie mix into large mixing bowl. Use your hands to thoroughly blend mix.<BR> 2. Add: 1/2 cup butter or margarine, softened at room temperature. DO NOT USE DIET MARGARINE. Mix in 1 egg, slightly beaten and 1 teaspoon vanilla. <BR> 3. Mix until completely blended. You will need to finish mixing with your hands.<BR> 4. Shape into walnut sized balls and place 2 inches apart on a sprayed cookie sheets.<BR> 5. Bake at 350 degrees F (175 degrees C) for 12 to 14 minutes until edges are lightly browned. Cool 5 minutes on baking sheet. Remove cookies to racks to finish cooling. Makes 2 1/2 dozen cookies.""}"
9056,White Wine Almond Chicken,https://images.media-allrecipes.com/userphotos/720x405/41003.jpg,white wine^chicken broth^heavy cream^all-purpose flour^fresh mushrooms sliced^white onion^sliced almonds^salt and pepper to taste^skinless boneless chicken breast halves,"{'directions':  Prep 20 m Cook 1 h 30 m Ready In 1 h 50 m Heat wine, broth and most of the cream (reserve a little) in a medium saucepan over medium low heat. Thicken flour with reserved cream, enough to make a thin paste. Add this to saucepan, stirring constantly until sauce has thickened. Stir in mushrooms and onions. Preheat oven to 325 degrees F(165 degrees C). Place chicken in a 9x13 inch baking dish. Pour sauce over chicken and top with almonds. Bake in the preheated oven for 1 1/2 hours.'}"
32241,Blueberry Vodka Martinis,https://images.media-allrecipes.com/userphotos/250x250/52767.jpg,liter vodka^pint blueberries rinsed and dried^raspberry flavored liqueur^lime juiced^twist lime zest garnish,"{'directions':  Prep 30 m Ready In 7 d 30 m To make the blueberry vodka: Pour out approximately 1/3 of the bottle of vodka into a holding container; set aside. Score each blueberry with a small nick and place into vodka bottle. With the vodka previously set aside, fill the vodka bottle until just below the neck. Add just enough raspberry liqueur to top off the bottle. Let sit in a dark place for 2 weeks. To make martinis: In a cocktail shaker filled with ice, combine 2 parts blueberry vodka, 1 part raspberry liqueur, and a dash of lime juice. Shake vigorously and strain into glass. Garnish with twist of lime zest.'}"
55475,Creamy Jalapeno,http://images.media-allrecipes.com/userphotos/720x405/677479.jpg,fresh jalapeno peppers^sour cream^dry ranch salad dressing mix^garlic powder^chopped fresh cilantro,"{'directions':  Prep 10 m Ready In 1 h 10 m Place minced jalapenos, sour cream, ranch dressing mix, garlic powder, and cilantro in a blender or food processor. Blend until smooth. Cover and refrigerate at least one hour, or overnight, before serving.'}"
71145,Thai Chicken Pizza,https://images.media-allrecipes.com/userphotos/720x405/20805.jpg,pre-baked pizza crust^peanut sauce^peanut butter^cooked skinless boneless chicken breast halves^shredded Italian cheese blend^green onions^fresh bean sprouts (optional)^shredded carrot (optional)^chopped roasted peanuts (optional),"{'directions':  Prep 10 m Cook 10 m Ready In 20 m Preheat the oven to 400 degrees F (200 degrees C). In a small bowl, stir together the peanut sauce and peanut butter. Spread over the pizza crust. Arrange strips of chicken on top. Sprinkle on the green onions and cheese. Bake for 8 to 12 minutes in the preheated oven, until cheese is melted and bubbly. Top with bean sprouts, carrot shreds and peanuts, if using. Slice into wedges and serve.'}"
7043,Bread Machine Challah I,https://images.media-allrecipes.com/userphotos/250x250/43320.jpg,milk^eggs^margarine^bread flour^white sugar^salt^active dry yeast,{'directions':  Prep 5 m Cook 3 h Ready In 3 h 5 m Add ingredients to the pan of the bread machine in the order suggested by the manufacturer. Select Basic Bread and Light Crust settings. Start.'}
234882,"Gluten-Free, Dairy-Free Coconut Brownies",http://images.media-allrecipes.com/userphotos/720x405/1768427.jpg,all-purpose rice flour^white sugar^unsweetened cocoa powder^brown sugar^salt^baking powder^unsweetened coconut milk^unsweetened applesauce^sweetened flaked coconut^coconut oil,"{'directions':  Prep 10 m Cook 30 m Ready In 50 m Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. Mix rice flour, white sugar, cocoa powder, brown sugar, salt, and baking powder together in a large bowl; add coconut milk, applesauce, flaked coconut, and coconut oil. Blend the mixture until it thickens into a batter; pour into the prepared baking dish. Bake in the preheated oven until the top is dry and the edges have started to pull away from the sides of the pan, about 30 minutes. Cool about 10 minutes before cutting into squares.'}"
79566,"Tofu, Red Onions, Walnuts, and Blue Cheese",https://images.media-allrecipes.com/userphotos/720x405/1464686.jpg,uncooked long grain white rice^water^chopped walnuts^butter^large red onion^garlic^vegetable broth^dried sage^dried tarragon^salt and pepper to taste^olive oil^firm tofu drained and cut into 1/2 inch strips^crumbled blue cheese,"{'directions':  Prep 15 m Cook 20 m Ready In 35 m Bring the rice and water to a boil in a pot. Cover, reduce heat to low, and simmer 20 minutes. Preheat oven to 350 degrees F (175 degrees C). Place the walnuts on a baking dish, and bake 10 minutes, stirring frequently, until lightly toasted. Remove from heat. Melt the butter in a skillet over medium heat, and cook the onion until tender. Mix in garlic, and cook 1 minute. Stir in the broth, and season with sage, tarragon, salt, and pepper. Continue cooking 10 minutes, stirring often. Heat the oil in a separate skillet. Dredge the tofu in the toasted walnuts, and cook in the skillet about 4 minutes on each side, until lightly browned. Mix any remaining walnuts and the onion and broth mixture into the skillet. Cook until heated through. Serve over rice, and top with blue cheese.'}"
261105,Easy Chicken Enchilada Soup,https://images.media-allrecipes.com/userphotos/720x405/4579856.jpg,skinless boneless chicken breast halves^black beans rinsed and drained^chicken stock^kernel corn^fire-roasted diced tomatoes with juice^enchilada sauce^diced green chiles^white onion^garlic^salt (optional)^ground cumin,"{'directions': u""Prep 10 m Cook 40 m Ready In 1 h Combine chicken breasts, black beans, chicken stock, corn, tomatoes, enchilada sauce, green chiles, onion, garlic, salt, and cumin in a multi-functional pressure cooker. Close and lock the lid. Select Stew mode and cook on high pressure according to manufacturer's instructions; set timer for 30 minutes. Allow 10 to 15 minutes for pressure to build. Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Remove chicken, shred it with 2 forks, and return it to the soup.""}"
146995,Zucchini Jelly,ingredients,peeled seeded and shredded zucchini^white sugar^crushed pineapple^lemon juice^strawberry flavored Jell-O® mix,"{'directions':  Prep 15 m Cook 30 m Ready In 45 m Combine the zucchini, sugar, pineapple, and lemon juice in a large pot over medium heat. Boil mixture until the zucchini is clear; remove from heat. Add gelatin mix and stir until completely dissolved. Ladle into hot, sterilized jars to within about 1/4 inch of the top. Seal, and process in a boiling water canner for 5 minutes.'}"
245755,Buffalo Flounder Fillets,https://images.media-allrecipes.com/userphotos/720x405/3125468.jpg,flounder fillets^cayenne pepper sauce (such as Frank's® RedHot®)^corn flour^butter^extra-virgin olive oil^chunky blue cheese dressing,"{'directions':  Prep 10 m Cook 6 m Ready In 1 h 16 m Place flounder and cayenne pepper sauce in a large resealable plastic bag. Let marinate in the refrigerator, at least 1 hour. Place corn flour in a shallow pan. Remove fillets, reserving marinade in the bag, and carefully dredge in the corn flour one at a time, coating completely and transferring to a plate. Dip each coated fillet back into the marinade, dredge again in corn flour, and dip in the marinade again. Repeat with remaining fillets. Heat butter and olive in a large nonstick skillet over medium-high heat until sizzling. Arrange fillets in the skillet so they are not touching and cook until golden brown, about 3 minutes. Flip fillets carefully with a wide, nonstick spatula and cook until second side is browned, about 3 minutes more. Serve with blue cheese dressing.'}"
255198,Spiralized Apple 'Spaghetti' with Cinnamon Dressing,https://images.media-allrecipes.com/userphotos/720x405/4646801.jpg,Red Delicious apple^plain Greek yogurt^honey^ground cinnamon^vanilla extract^chopped walnuts,"{'directions':  Prep 10 m Ready In 10 m Attach apple to a spiralizer and cut into ribbons. Whisk Greek yogurt, honey, cinnamon, and vanilla extract together in a bowl until blended. Add apple; toss to coat. Garnish with walnuts.'}"
