,recipe_id,recipe_name,lime,sugar,cachaca,coffee,pepper,salt,cumin,garlic,onion,coconut,flour,wine,chicken,cream,mushrooms,almonds,vodka,blueberries,peppers,cilantro,butter,cheese,onions,sprouts,carrot,peanuts,milk,eggs,margarine,yeast,rice,cocoa,applesauce,oil,walnuts,sage,tarragon,beans,corn,tomatoes,chiles,pineapple,lemon,apple,yogurt,honey,cinnamon,vanilla,horseradish,ham,egg,soda,pecans,cranberry,cornstarch,bread,syrup,nutmeg,carrots,beef,ginger,celery,five,turmeric,potatoes,apples,cashews,vinegar,basil,thyme,mustard,soup,rabe,young,scallops,shrimp,bayâ„¢,parsley,pasta,pomegranate,marshmallows,crackers,:,cake,raspberries,fennel,leeks,pork,bouillon,tomato,prunes,grapes,mayonnaise,banana,kale,cranberries,seeds,almond,orange,salsa,olives,turkey,paprika,buns,avocado,marshmallow,cracker,chocolate,bacon,jelly,sausage,worcestershire,puff,chips,verde,huckleberries,kisses,lamb,lettuce,garbanzo,caesar,salad,stevia,strawberries,mixed,cucumber,strawberry,bean,cabbage,radish,loin,lemons,cherries,brandy,soy,rosemary,oregano,yolk,wrappers,pumpkin,curry,flakes,oranges,tortilla,tartar,flake,allspice,buttermilk,shallots,black,leaves,berries,gelatin,spread,spinach,vinaigrette,arugula,nuts,apricots,oats,masala,mango,cherry,caps,ravioli,summer,leaf,sirloin,raisins,chili,cloves,pastry,pulp,barbecue,granules,rhubarb,ketchup,flowers,glaze,fettuccine,moons,lemonade,zinfandel,steak,imitation,creole,coriander,penne,additions,salmon,noodles,peas,spaghetti,sake,oyster,artichoke,croutons,grouper,vegetables,broccoli,potato,kernels,cheddar,nonstick,oysters,bananas,kefir,chives,mint,jam,cholulaâ,capers,snapper,scallions,pear,mirin,gochujang,worms,custard,baileysâ,zucchini,creme,meat,sausages,molasses,linguine,cauliflower,soju,harissa,pears,golden,oreoâ,alfredo,whipâ,tri,tequila,cardamom,fry,starch,bamboo,pesto,shortbread,classicoâ,rum,anise,cornmeal,sriracha,sandwich,crabmeat,chestnuts,rutabaga,sauce,lump,tuna,string,peaches,beer,pie,cajun,barley,chorizo,cotija,farfalle,mexico,shoulder,hominy,perch,breadcrumbs,canola,balanceâ,cointreau,iceberg,avocados,asparagus,plantains,rigatoni,candies,caramels,lard,classic,dijon,naan,pickles,pickle,luncheon,coating,vermouth,flax,harina,dough,limes,eggplant,julienne,nectar,squeeze,cochonsâ,dill,daniel'sâ,fruit,oelek,cornichons,pretzels,lecithin,choy,bagels,hazelnuts,bags,base,blackberries,sangiovese,skirt,baguette,tilapia,roast,bay,container,candy,currants,eye,consomme,jicama,honeydew,chilies,marinade,sherry,eggnog,couscous,bow,tenderloins,chinese,ghee,asafoetida,balls,mackerel
0,222877,Caipirinha Cocktail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,241509,Stumptown Coffee Rub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10650,Cookie Mix in a Jar IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9056,White Wine Almond Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32241,Blueberry Vodka Martinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,55475,Creamy Jalapeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,71145,Thai Chicken Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7043,Bread Machine Challah I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,234882,"Gluten-Free, Dairy-Free Coconut Brownies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,79566,"Tofu, Red Onions, Walnuts, and Blue Cheese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
