recipe_id,carbs,dairy,meat,oil,sugar,veg
6691,,3.0,,1.0,1.0,
6803,,1.0,1.0,1.0,1.0,
6916,,3.0,,1.0,2.0,
7030,1.0,5.0,,,2.0,
7037,,3.0,,,1.0,
7053,,2.0,,1.0,2.0,1.0
7094,2.0,2.0,,1.0,1.0,
7117,,2.0,,1.0,2.0,
7232,,3.0,,,1.0,
7239,,4.0,,1.0,1.0,
7346,,1.0,,,1.0,
7387,,2.0,1.0,,1.0,3.0
7528,,1.0,,,1.0,1.0
7631,,7.0,1.0,,6.0,
7741,,2.0,,,2.0,2.0
7784,,4.0,,,3.0,1.0
7852,,1.0,1.0,,1.0,
7855,,1.0,,,,
8086,,1.0,1.0,,1.0,
8533,,2.0,1.0,,,1.0
8563,,1.0,,1.0,,
8568,,1.0,1.0,,1.0,3.0
9034,,,,1.0,,1.0
9080,,2.0,,,,
9309,1.0,,1.0,,1.0,
9536,,2.0,,,2.0,
9562,3.0,1.0,,,,
9609,,2.0,,,1.0,
9655,,2.0,,,1.0,
9809,,2.0,1.0,1.0,2.0,
9900,,,1.0,1.0,,
10035,,1.0,1.0,,1.0,1.0
10182,1.0,3.0,1.0,,2.0,2.0
10221,,3.0,1.0,,2.0,
10295,1.0,2.0,1.0,,2.0,
10319,1.0,1.0,1.0,,2.0,
10346,,,,1.0,1.0,
10445,,1.0,,,,
10508,1.0,1.0,1.0,,2.0,
10527,,2.0,,,1.0,
10536,,2.0,,,1.0,
10818,2.0,6.0,,,3.0,
10938,,4.0,,,1.0,
11195,,2.0,1.0,,1.0,
11205,,2.0,1.0,,2.0,
11275,1.0,,,,,
11350,,2.0,1.0,,1.0,
11773,,2.0,,1.0,,
11904,,4.0,,1.0,,2.0
11959,,3.0,1.0,,,4.0
11972,,4.0,3.0,,1.0,3.0
11978,,2.0,1.0,1.0,,3.0
11995,,1.0,,1.0,,1.0
12030,,3.0,,,,1.0
12338,,3.0,,,,
12394,,1.0,,,3.0,
12398,,2.0,1.0,,1.0,1.0
12491,,4.0,1.0,,2.0,
12549,,4.0,,,2.0,1.0
12648,,3.0,,1.0,2.0,2.0
12664,,2.0,2.0,1.0,1.0,2.0
12769,,1.0,,,,1.0
12792,,3.0,1.0,1.0,1.0,
12831,,1.0,1.0,,1.0,1.0
12997,,4.0,1.0,,,1.0
13098,,2.0,,1.0,,4.0
13100,,,1.0,,,4.0
13166,,1.0,,,,1.0
13475,,2.0,,1.0,1.0,2.0
13496,,3.0,1.0,,2.0,1.0
13706,,4.0,,,1.0,1.0
13774,1.0,2.0,,,2.0,1.0
13916,,4.0,,,,
14283,,,,,,2.0
14332,,,,1.0,1.0,3.0
14565,,3.0,,,1.0,1.0
14581,1.0,,,1.0,,4.0
14685,,1.0,,,,5.0
14778,,,1.0,,1.0,2.0
14877,,1.0,,1.0,,1.0
14966,,4.0,,,1.0,
15012,,4.0,,,,2.0
15094,1.0,,1.0,1.0,,6.0
