recipe_id,carbs,dairy,meat,oil,sugar,veg,saucy,,,,,,,
6666,,1,1,1,1,1,,Sweet Potato Bread I,Soup,Casserole,Stew,Curry,Brine,Chowder
6742,,2,,,,1,,Cheddar Biscuits,,,,,,
6773,,4,,,2,,,Simple Whole Wheat Bread,,,,,,
6791,,2,1,,1,1,,Irish Soda Bread II,,,,,,
6962,,2,,,1,,,Seven Grain Bread I,,,,,,
7287,,,1,,,1,,Lick Your Lips Cake,,,,,,
7528,,1,,,1,1,,Blueberry Dump Cake,,,,,,
7562,,3,1,,1,,,Cone Cupcakes,,,,,,
7820,,5,1,,2,,,White Texas Sheet Cake,,,,,,
7849,,,1,1,,,,Chocolate Banana Cake,,,,,,
7957,,3,1,,1,,,Richest Ever Chocolate Pound Cake,,,,,,
8155,,3,1,,2,1,,Mexican Wedding Cake,,,,,,
8408,1,1,,,1,1,,Barm Brack,,,,,,
8622,,2,1,,,3,,Curried Microwaved Chicken,,,,,,
8729,,1,,,,1,,Julia's Easy Slow Cooker Chicken,,,,,,
8829,,1,,,1,1,,Baked Chicken on Rice,,,,,,
8891,,,1,,,,,Cindy's Tasty Wings,,,,,,
9031,1,1,1,,1,,,Tangy Cereal-Coated Chicken,,,,,,
9159,,1,,,1,1,,Mincemeat and Pumpkin Layer Pie,,,,,,
9170,,,2,,,2,,Oyster Stuffing,,,,,,
9182,,2,,,1,1,,Pumpkin Biscuits,,,,,,
9233,,,,,1,2,,Vegetarian Stuffing,,,,,,
9273,1,2,1,,2,1,,Fruitcake,,,,,,
9325,1,1,2,,1,,,Spiced Ham Loaf,,,,,,
9907,1,1,1,,2,,,Oatmeal Chocolate Chip Cookies I,,,,,,
9923,,,,,1,,,Forgotten Kisses,,,,,,
10039,,7,1,,2,,,Nutcracker Bars,,,,,,
10269,,2,,,1,,,Shortbread Cookies II,,,,,,
10290,,2,,,1,,,Sweet Butter Cookies,,,,,,
10312,1,4,1,,2,1,,Winter Energy Cookies,,,,,,
10320,1,3,,,1,,,Peanut Butter Drops,,,,,,
10364,,2,1,1,2,,,Powdered Sugar Cookies I,,,,,,
10389,2,4,,,1,,,Peanut Clusters Chocolate Cookie,,,,,,
10517,,1,,,1,,,Cookie Pralines,,,,,,
10632,,2,,,2,,,Angel Crisps,,,,,,
10674,,2,1,,2,,,Mel's Magnificent Chocolate Chip Cookies,,,,,,
11026,,2,,,2,,,Macadamia Nut Chocolate Chip Cookies,,,,,,
11040,,3,,,1,,,Play Dough Cookies,,,,,,
11144,,2,,,1,,,Orange Peel Cookies,,,,,,
11244,,2,,,2,,,Ginger Biscotti with Pistachios,,,,,,
11263,,1,,,1,,,Orange Cream Cookie Mix,,,,,,
11415,,3,,,1,1,,Easy Rugalech,,,,,,
11493,,1,,,2,,,Special Cereal Bars I,,,,,,
11892,,3,1,,,1,,Penne and Vodka Sauce,,,,,,
12016,,5,,,,,,Mac and Cheese II,,,,,,
12092,,1,,,2,1,,American Apple Pie,,,,,,
12211,,3,,,2,1,,Cherry Cobbler I,,,,,,
12220,,2,1,,1,1,,Pumpkin Honey Pie,,,,,,
12401,,4,,,3,2,,Peach Berry Cobbler,,,,,,
12648,,3,,1,2,2,,Fresh Blueberry Pie III,,,,,,
12707,,1,1,1,,,,Creole Shrimp and Pasta Meuniere,,,,,,
12721,,1,1,1,,1,,Sole In Butter Sauce,,,,,,
12797,,2,,,,,,Trout Amandine,,,,,,
12996,,4,,,,4,1,Cauliflower-Cheese Soup,,,,,,
13034,,,1,,,4,1,Bean and Sausage Soup,,,,,,
13063,,2,,,,2,1,Delicata Creamy Squash Soup,,,,,,
13521,,2,1,,1,3,,Maple Roast Turkey and Gravy,,,,,,
13534,,1,1,,,,,Thanksgiving Meatloaf,,,,,,
13596,,3,1,,1,,,Dee's Hot Milk Sponge Cake,,,,,,
13708,,2,,,1,1,,Baked Pineapple II,,,,,,
13787,,,,,1,1,,Cranberry Orange Relish with Orange Flavored Liqueur,,,,,,
13994,,5,1,,,,,Mini Frittatas,,,,,,
14208,2,2,1,,1,,,Allison's Pasta Salad,,,,,,
14241,,,,1,2,1,,Orange Vinaigrette Brown Rice Salad,,,,,,
14251,,1,,,,2,,Orange Fluff I,,,,,,
14322,,,,1,,,,Coleslaw with a Difference!,,,,,,
